,author,title,type,start,end,kind,words
1,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1,60,NA,THE  DESCRIPION  OF A NEW  WORLD  CALLED  The BlazingWorld
486,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1,22,NA,phers were Cabbalists
487,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,24,128,NA,They answered No but onely your Mystical or Divine Philosophers such as study beyond Sense and Reason
2,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,63,206,NA,WRITTEN  By The Thrice Noble Illustrious and Excellent  PRINCESSE  THE  Duchess of Newcastle  Printed by A Maxwell in the Year MDCLXVIII
972,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,122,127,person,Reason
488,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,130,223,NA,she enquired further Whether there was any Cabbala in God or whether God was full of Ideas
3,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,216,284,NA,Contents      To The Duchesse of Newcastle On Her New BlazingWorld
489,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,225,486,NA,They answered There could be nothing in God nor could God be full of any thing either forms or figures but of himself for God is the Perfection of all things and an Unexpressible Being beyond the conception of any Creature either Natural or Supernatural
1028,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,266,268,location,God
4,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,290,320,NA,To all Noble and Worthy Ladies
5,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,326,382,NA,The Description of a New World Called The BlazingWorld
6,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,388,447,NA,The Second Part of the Description of the New BlazingWorld
7,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,453,479,NA,The Epilogue to the Reader
8,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,485,539,NA,Illustration       Here on this Figure Cast a Glance
490,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,488,586,NA,Then I pray inform me said the Empress Whether the Jews Cabbala or any other consist in Numbers
9,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,545,811,NA,But so as if it were by Chance     Your eyes not fixt they must not Stay     Since this like Shadowes to the Day     It only represents for Still     Her Beautys found beyond the Skill     Of the best Paynter to Imbrace     These lovely Lines within her face
491,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,588,694,NA,The Spirits answered No for Numbers are odd and different and would make a disagreement in the Cabbala
492,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,696,771,NA,But said she again Is it a sin then not to know or understand the Cabbala
493,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,773,1041,NA,God is so merciful answered they and so just that he will never damn the ignorant and save onely those that pretend to know him and his secret Counsels by their Cabbalas but he loves those that adore and worship him with fear and reverence and with a pure heart
10,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,817,985,NA,View her Souls Picture Judgment witt     Then read those Lines which Shee hath writt     By Phancys Pencill drawne alone     Which Peces but Shee can justly owne
11,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,991,1045,NA,To The Duchesse of Newcastle On Her New BlazingWorld
494,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1043,1137,NA,she asked further which of these two Cabbalas was most approved the Natural or Theological
12,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1053,1328,NA,Our Elder World with all their Skill and Arts     Could but divide the World into three Parts     Columbus then for Navigation famd     Found a new World America tis namd     Now this new World was found it was not made     Onely discovered lying in Times shade
495,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1139,1245,NA,The Theological answered they is mystical and belongs onely to Faith but the Natural belongs to Reason
352,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,1154,1161,location,Columbus
353,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,1214,1220,location,America
973,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,1239,1244,person,Reason
496,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1247,1311,NA,Then she asked them Whether Divine Faith was made out of Reason
974,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,1305,1310,person,Reason
497,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1313,1415,NA,No answered they for Faith proceeds onely from a Divine saving Grace which is a peculiar Gift of God
13,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1335,1421,NA,Then what are You having no Chaos found     To make a World or any such least ground
975,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,1377,1381,person,Grace
498,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1417,1523,NA,How comes it then replied she that Men even those that are of several opinions have Faith more or less
14,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1427,1514,NA,But your Creating Fancy thought it fit     To make your World of Nothing but pure Wit
15,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1520,1612,NA,Your BlazingWorld beyond the Stars mounts higher     Enlightens all with a Cœlestial Fier
499,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1525,1579,NA,A Natural Belief answered they is not a Divine Faith
500,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1581,1650,NA,But proceeded the Empress How are you sure that God cannot be known
16,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1619,1636,NA,William Newcastle
297,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,1619,1635,person,William Newcastle
17,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1642,1672,NA,To all Noble and Worthy Ladies
501,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1652,1745,NA,The several Opinions you Mortals have of God answered they are sufficient witnesses thereof
18,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1676,1913,NA,This present  Description of a New World  was made as an Appendix to my  Observations upon Experimental Philosophy  and having some Sympathy and Coherence with each other were joyned together as Two several Worlds at their Two Poles
502,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1747,1888,NA,Well then replied the Empress leaving this inquisitive knowledg of God I pray inform me whether you Spirits give motion to Natural Bodies
503,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1890,2164,NA,No answered they but on the contrary Natural material bodies give Spirits motion for we Spirits being incorporeal have no motion but from our Corporeal Vehicles so that we move by the help of our Bodies and not the Bodies by our help for pure Spirits are immovable
19,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,1915,2177,NA,But by reason most Ladies take no delight in Philosophical Arguments I separated some from the mentioned Observations and caused them to go out by themselves that I might express my Respects in presenting to Them such Fancies as my Contemplations did afford
354,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,1961,1973,location,Philosophical
504,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,2166,2268,NA,If this be so replied the Empress How comes it then that you can move so suddenly at a vast distance
20,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,2179,2300,NA,The First Part is Romancical the Second Philosophical and the Third is meerly Fancy or as I may call it Fantastical
505,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,2270,2441,NA,They answered That some sorts of matter were more pure rare and consequently more light and agil then others and this was the reason for their quick and sudden motions
21,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,2302,2693,NA,And if Noble Ladies you should chance to take pleasure in reading these Fancies I shall account my self a Happy Creatoress If not I must be content to live a Melancholly Life in my own World which I cannot call a Poor World if Poverty be only want of Gold and Jewels for there is more Gold in it than all the Chymists ever made or as I verily believe will ever be able to make
506,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,2443,2529,NA,Then the Empress asked them Whether they could speak without a body or bodily organs
507,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,2531,2600,NA,No said they nor could we have any bodily sense but onely knowledg
508,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,2602,2658,NA,she asked Whether they could have Knowledg without Body
509,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,2660,2764,NA,Not a Natural answered they but a Supernatural Knowledg which is a far better Knowledg then a Natural
22,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,2695,3406,NA,As for the Rocks of Diamonds I wish with all my Soul they might be shared amongst my Noble Female Friends upon which condition I would willingly quit my Part And of the Gold I should desire only so much as might suffice to repair my Noble Lord and Husbands Losses for I am not Covetous but as Ambitious as ever any of my Sex was is or can be which is the cause That though I cannot be Henry the Fifth or Charles the Second yet I will endeavour to be Margaret the First and though I have neither Power Time nor Occasion to be a great Conqueror like Alexander or Cesar yet rather than not be Mistress of a World since Fortune and the Fates would give me none I have made One of my own
510,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,2766,2835,NA,Then she asked them Whether they had a General or Universal Knowledg
298,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,2783,2802,person,Noble Female Friends
511,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,2837,2994,NA,They answered Single or particular created Spirits have not for not any Creature but God Himself can have an absolute and perfect knowledg of all things
299,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,2935,2944,person,Noble Lord
512,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,2996,3072,NA,The Empress asked them further Whether Spirits had inward and outward parts
513,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3074,3141,NA,No answered they for parts onely belong to bodies not to Spirits
300,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,3095,3099,person,Henry
514,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3143,3207,NA,Again she asked them Whether their Vehicles were living Bodies
515,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3209,3344,NA,They are Selfmoving Bodies answered they and therefore they must needs be living for nothing can move it self without it hath life
301,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,3267,3275,person,Alexander
516,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3346,3506,NA,Then said she it must necessarily follow that this living Selfmoving Body gives motion to the Spirit and not the Spirit motion to the Body as its Vehicle
23,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3408,3572,NA,And thus believing or at least hoping that no Creature can or will Envy me for this World of mine I remain  Noble Ladies Your Humble Servant M Newcastle
517,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3508,3569,NA,You say very true answered they and we told you this before
302,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,3525,3536,person,Noble Ladies
518,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3571,3643,NA,Then the Empress asked them Of what forms of Matter those Vehicles were
24,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3578,3634,NA,The Description of a New World Called The BlazingWorld
25,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3638,4254,NA,A Merchant travelling into a foreign Country fell extreamly in Love with a young Lady but being a stranger in that Nation and beneath her both in Birth and Wealth he could have but little hopes of obtaining his desire however his Love growing more and more vehement upon him even to the slighting of all difficulties he resolved at last to Steal her away which he had the better opportunity to do because her Fathers house was not far from the Sea and she often using to gather shells upon the shore accompanied not with above two to three of her servants it encouraged him the more to execute his design
519,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3645,3753,NA,They said they were of several different forms some gross and dense and others more pure rare and subtil
355,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,3702,3705,location,Love
520,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3755,3839,NA,If you be not Material said the Empress how can you be Generators of all Creatures
521,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3841,3952,NA,We are no more answered they the Generators of material Creatures then they are the Generators of us Spirits
356,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,3874,3877,location,Love
522,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,3954,4007,NA,Then she asked Whether they did leave their Vehicles
523,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,4009,4170,NA,No answered they for we being incorporeal cannot leave or quit them but our Vehicles do change into several forms and figures according as occasion requires
524,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,4172,4252,NA,Then the Empress desired the Spirits to tell her Whether Man was a little World
525,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,4254,4330,NA,They answered That if a Fly or Worm was a little World then Man was so too
26,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,4256,5203,NA,Thus coming one time with a little leight Vessel not unlike a Packetboat mannd with some few Seamen and well victualled for fear of some accidents which might perhaps retard their journey to the place where she used to repair he forced her away But when he fancied himself the happiest man of the World he proved to be the most unfortunate for Heaven frowning at his Theft raised such a Tempest as they knew not what to do or whither to steer their course so that the Vessel both by its own leightness and the violent motion of the Wind was carried as swift as an Arrow out of a Bow towards the Northpole and in a short time reached the Icy Sea where the wind forced it amongst huge pieces of Ice but being little and leight it did by the assistance and favour of the gods to this virtuous Lady so turn and wind through those precipices as if it had been guided by some experienced Pilot and skilful Mariner But alas
526,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,4332,4476,NA,she asked again Whether our Forefathers had been as wise as Men were at present and had understood sense and reason as well as they did now
527,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,4478,4695,NA,They answered That in former Ages they had been as wise as they are in this present nay wiser for said they many in this age do think their Forefathers have been Fools by which they prove themselves to be such
528,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,4697,4770,NA,The Empress asked further Whether there was any Plastick power in Nature
