,text,title,author
1,      ANTHEM,Anthem,"Rand, Ayn"
2,      by Ayn Rand,Anthem,"Rand, Ayn"
3,        CONTENTS,Anthem,"Rand, Ayn"
4,         PART ONE,Anthem,"Rand, Ayn"
5,         PART TWO,Anthem,"Rand, Ayn"
6,         PART THREE,Anthem,"Rand, Ayn"
7,         PART FOUR,Anthem,"Rand, Ayn"
8,         PART FIVE,Anthem,"Rand, Ayn"
9,         PART SIX,Anthem,"Rand, Ayn"
10,         PART SEVEN,Anthem,"Rand, Ayn"
11,         PART EIGHT,Anthem,"Rand, Ayn"
12,         PART NINE,Anthem,"Rand, Ayn"
13,         PART TEN,Anthem,"Rand, Ayn"
14,         PART ELEVEN,Anthem,"Rand, Ayn"
15,         PART TWELVE,Anthem,"Rand, Ayn"
16,      PART ONE,Anthem,"Rand, Ayn"
17,      It is a sin to write this. It is a sin to think words no others,Anthem,"Rand, Ayn"
18,      think and to put them down upon a paper no others are to see. It,Anthem,"Rand, Ayn"
19,      is base and evil. It is as if we were speaking alone to no ears,Anthem,"Rand, Ayn"
20,      but our own. And we know well that there is no transgression,Anthem,"Rand, Ayn"
21,      blacker than to do or think alone. We have broken the laws. The,Anthem,"Rand, Ayn"
22,      laws say that men may not write unless the Council of Vocations,Anthem,"Rand, Ayn"
23,      bid them so. May we be forgiven!,Anthem,"Rand, Ayn"
24,      But this is not the only sin upon us. We have committed a greater,Anthem,"Rand, Ayn"
25,"      crime, and for this crime there is no name. What punishment",Anthem,"Rand, Ayn"
26,"      awaits us if it be discovered we know not, for no such crime has",Anthem,"Rand, Ayn"
27,      come in the memory of men and there are no laws to provide for,Anthem,"Rand, Ayn"
28,      it.,Anthem,"Rand, Ayn"
29,      It is dark here. The flame of the candle stands still in the air.,Anthem,"Rand, Ayn"
30,      Nothing moves in this tunnel save our hand on the paper. We are,Anthem,"Rand, Ayn"
31,"      alone here under the earth. It is a fearful word, alone. The laws",Anthem,"Rand, Ayn"
32,"      say that none among men may be alone, ever and at any time, for",Anthem,"Rand, Ayn"
33,      this is the great transgression and the root of all evil. But we,Anthem,"Rand, Ayn"
34,      have broken many laws. And now there is nothing here save our one,Anthem,"Rand, Ayn"
35,"      body, and it is strange to see only two legs stretched on the",Anthem,"Rand, Ayn"
36,"      ground, and on the wall before us the shadow of our one head.",Anthem,"Rand, Ayn"
37,      The walls are cracked and water runs upon them in thin threads,Anthem,"Rand, Ayn"
38,"      without sound, black and glistening as blood. We stole the candle",Anthem,"Rand, Ayn"
39,      from the larder of the Home of the Street Sweepers. We shall be,Anthem,"Rand, Ayn"
40,      sentenced to ten years in the Palace of Corrective Detention if,Anthem,"Rand, Ayn"
41,      it be discovered. But this matters not. It matters only that the,Anthem,"Rand, Ayn"
42,      light is precious and we should not waste it to write when we,Anthem,"Rand, Ayn"
43,      need it for that work which is our crime. Nothing matters save,Anthem,"Rand, Ayn"
44,"      the work, our secret, our evil, our precious work. Still, we must",Anthem,"Rand, Ayn"
45,"      also write, forîmay the Council have mercy upon us!îwe wish to",Anthem,"Rand, Ayn"
46,      speak for once to no ears but our own.,Anthem,"Rand, Ayn"
47,"      Our name is Equality 7-2521, as it is written on the iron",Anthem,"Rand, Ayn"
48,      bracelet which all men wear on their left wrists with their names,Anthem,"Rand, Ayn"
49,"      upon it. We are twenty-one years old. We are six feet tall, and",Anthem,"Rand, Ayn"
50,"      this is a burden, for there are not many men who are six feet",Anthem,"Rand, Ayn"
51,      tall. Ever have the Teachers and the Leaders pointed to us and,Anthem,"Rand, Ayn"
52,      frowned and said:,Anthem,"Rand, Ayn"
53,"      There is evil in your bones, Equality 7-2521, for your body has",Anthem,"Rand, Ayn"
54,      grown beyond the bodies of your brothers.ù But we cannot change,Anthem,"Rand, Ayn"
