,author,title,words,kind,gender
2,"Bradbury, Ray",Fahrenheit 451,Guy Montag,person,m
5,"Bradbury, Ray",Fahrenheit 451,America,location,
6,"Bradbury, Ray",Fahrenheit 451,Russia,location,
7,"Bradbury, Ray",Fahrenheit 451,Los,location,
8,"Bradbury, Ray",Fahrenheit 451,Illinois,location,
10,"Bradbury, Ray",Fahrenheit 451,Juan Ramon,person,m
11,"Bradbury, Ray",Fahrenheit 451,Whitman,person,m
12,"Bradbury, Ray",Fahrenheit 451,Friday Faulkner,person,m
13,"Bradbury, Ray",Fahrenheit 451,Millay,location,
14,"Bradbury, Ray",Fahrenheit 451,Mildred,person,f
16,"Bradbury, Ray",Fahrenheit 451,Helen,person,f
18,"Bradbury, Ray",Fahrenheit 451,Bob,person,m
20,"Bradbury, Ray",Fahrenheit 451,Phoenix,location,
23,"Bradbury, Ray",Fahrenheit 451,Seattle,location,
24,"Bradbury, Ray",Fahrenheit 451,Beatty,person,m
25,"Bradbury, Ray",Fahrenheit 451,Benjamin Franklin.,person,m
26,"Bradbury, Ray",Fahrenheit 451,Stoneman,location,
27,"Bradbury, Ray",Fahrenheit 451,England,location,
28,"Bradbury, Ray",Fahrenheit 451,Babel,location,
29,"Bradbury, Ray",Fahrenheit 451,Nicholas Ridley,person,m
30,"Bradbury, Ray",Fahrenheit 451,Louis,person,m
31,"Bradbury, Ray",Fahrenheit 451,Aunt Maude,person,f
32,"Bradbury, Ray",Fahrenheit 451,Black,location,
38,"Bradbury, Ray",Fahrenheit 451,Mrs. Montag,person,f
39,"Bradbury, Ray",Fahrenheit 451,October,location,
40,"Bradbury, Ray",Fahrenheit 451,Helen’s,location,
42,"Bradbury, Ray",Fahrenheit 451,Oregon,location,
43,"Bradbury, Ray",Fahrenheit 451,Mexico,location,
45,"Bradbury, Ray",Fahrenheit 451,Chicago,location,
46,"Bradbury, Ray",Fahrenheit 451,Iowa,location,
48,"Bradbury, Ray",Fahrenheit 451,Mildred Montag,person,f
53,"Bradbury, Ray",Fahrenheit 451,Faber,person,m
60,"Bradbury, Ray",Fahrenheit 451,Clarisse Dove,person,f
61,"Bradbury, Ray",Fahrenheit 451,Mrs. Phelps,person,f
63,"Bradbury, Ray",Fahrenheit 451,Hubert Hoag,person,m
65,"Bradbury, Ray",Fahrenheit 451,Clarisse,person,f
68,"Bradbury, Ray",Fahrenheit 451,Philip Sidney,person,m
70,"Bradbury, Ray",Fahrenheit 451,Dr. Johnson,person,m
73,"Bradbury, Ray",Fahrenheit 451,Devil,location,
74,"Bradbury, Ray",Fahrenheit 451,Hound,location,
75,"Bradbury, Ray",Fahrenheit 451,Clarisse,person,f
80,"Bradbury, Ray",Fahrenheit 451,Faber’s,location,
81,"Bradbury, Ray",Fahrenheit 451,Mrs. Black,person,f
84,"Bradbury, Ray",Fahrenheit 451,Los Angeles,location,
85,"Bradbury, Ray",Fahrenheit 451,St. Louis,location,
86,"Bradbury, Ray",Fahrenheit 451,Mr. Faber,person,m
88,"Bradbury, Ray",Fahrenheit 451,Elm Terrace,location,
89,"Bradbury, Ray",Fahrenheit 451,Oak,location,
