"","author","title","entity","kind","total"
"1","Atwood, Margaret","The Handmaid's Tale","Adam","person",-0.5
"2","Atwood, Margaret","The Handmaid's Tale","Alma","person",1.25
"3","Atwood, Margaret","The Handmaid's Tale","Angela","person",1
"4","Atwood, Margaret","The Handmaid's Tale","Aunt Helena","person",4.16666666666667
"5","Atwood, Margaret","The Handmaid's Tale","Aunt Lydia","person",1.56190476190476
"6","Atwood, Margaret","The Handmaid's Tale","Aunt Lydias","person",1.33333333333333
"7","Atwood, Margaret","The Handmaid's Tale","Don","person",-0.28
"8","Atwood, Margaret","The Handmaid's Tale","Elizabeth","person",1.27777777777778
"9","Atwood, Margaret","The Handmaid's Tale","Helen","person",4.16666666666667
"10","Atwood, Margaret","The Handmaid's Tale","Janine","person",0.794392523364486
"11","Atwood, Margaret","The Handmaid's Tale","Katharine Hepburn","person",1
"12","Atwood, Margaret","The Handmaid's Tale","Lord","person",1.33333333333333
"13","Atwood, Margaret","The Handmaid's Tale","Luke","person",0.320754716981132
"14","Atwood, Margaret","The Handmaid's Tale","Martha","person",0.387096774193548
"15","Atwood, Margaret","The Handmaid's Tale","Merry Widow","person",2
"16","Atwood, Margaret","The Handmaid's Tale","Mildred","person",-2
"17","Atwood, Margaret","The Handmaid's Tale","Moira","person",0.209677419354839
"18","Atwood, Margaret","The Handmaid's Tale","Montag","person",-2
"19","Atwood, Margaret","The Handmaid's Tale","Nick","person",-1.21428571428571
"20","Atwood, Margaret","The Handmaid's Tale","Nick.","person",-1.45454545454545
"21","Atwood, Margaret","The Handmaid's Tale","Ofglen","person",0.242424242424242
"22","Atwood, Margaret","The Handmaid's Tale","Rachel","person",0.5
"23","Atwood, Margaret","The Handmaid's Tale","Raymond Chandler","person",-1
"24","Atwood, Margaret","The Handmaid's Tale","Rita","person",0
"25","Atwood, Margaret","The Handmaid's Tale","Rita.","person",0
"26","Atwood, Margaret","The Handmaid's Tale","Saint Serena","person",2
"27","Atwood, Margaret","The Handmaid's Tale","Serena","person",1.82758620689655
"28","Atwood, Margaret","The Handmaid's Tale","Serena Joy","person",2.52380952380952
"29","Atwood, Margaret","The Handmaid's Tale","Steven","person",-1
"30","Atwood, Margaret","The Handmaid's Tale","Warren","person",1
"31","Bradbury, Ray","Fahrenheit 451","Albert Schweitzer","person",3
"32","Bradbury, Ray","Fahrenheit 451","Aunt Maude","person",2
"33","Bradbury, Ray","Fahrenheit 451","Beatty","person",-0.038961038961039
"34","Bradbury, Ray","Fahrenheit 451","Bob","person",3
"35","Bradbury, Ray","Fahrenheit 451","Byron","person",0
"36","Bradbury, Ray","Fahrenheit 451","Clarisse","person",0.733333333333333
"37","Bradbury, Ray","Fahrenheit 451","Don","person",-0.666666666666667
"38","Bradbury, Ray","Fahrenheit 451","Faber","person",-0.392156862745098
"39","Bradbury, Ray","Fahrenheit 451","Fred Clement","person",4
"40","Bradbury, Ray","Fahrenheit 451","Friday Faulkner","person",-4
"41","Bradbury, Ray","Fahrenheit 451","Granger","person",0.214285714285714
"42","Bradbury, Ray","Fahrenheit 451","Harris","person",0
"43","Bradbury, Ray","Fahrenheit 451","Helen","person",2.5
"44","Bradbury, Ray","Fahrenheit 451","Hubert Hoag","person",2
"45","Bradbury, Ray","Fahrenheit 451","John","person",-0.666666666666667
"46","Bradbury, Ray","Fahrenheit 451","Juan Ramon","person",1
"47","Bradbury, Ray","Fahrenheit 451","Lord","person",0.25
"48","Bradbury, Ray","Fahrenheit 451","Louis","person",1.66666666666667
"49","Bradbury, Ray","Fahrenheit 451","Luke","person",-3
"50","Bradbury, Ray","Fahrenheit 451","Marcus","person",1
"51","Bradbury, Ray","Fahrenheit 451","Mark","person",-3
"52","Bradbury, Ray","Fahrenheit 451","Mildred","person",0.0967741935483871
"53","Bradbury, Ray","Fahrenheit 451","Montag","person",-0.257042253521127
"54","Bradbury, Ray","Fahrenheit 451","Nicholas Ridley","person",-1
"55","Bradbury, Ray","Fahrenheit 451","Philip Sidney","person",4
"56","Bradbury, Ray","Fahrenheit 451","Ruth","person",3.5
"57","Bradbury, Ray","Fahrenheit 451","Sam","person",-1
"58","Bradbury, Ray","Fahrenheit 451","Thomas Hardy","person",4
