,author,title,sentence_nr,entity,kind,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
3,"Orwell, George",1984,5,Parsons,person,0,2,0,0,0,2,2,0,0,0,0
5,"Orwell, George",1984,6,Big Brother,person,0,0,0,0,0,0,1,0,0,1,1
6,"Orwell, George",1984,10,Big Brother,person,0,0,0,0,0,0,1,0,0,1,1
7,"Orwell, George",1984,26,Julia,person,8,16,8,12,4,24,28,16,4,24,4
11,"Orwell, George",1984,28,Ingsoc,person,2,0,0,2,0,2,4,0,0,4,2
13,"Orwell, George",1984,33,Julia,person,0,0,0,0,0,0,2,0,0,0,2
15,"Orwell, George",1984,34,O'Brien,person,0,1,0,0,1,0,1,0,1,1,1
20,"Orwell, George",1984,68,Winston,person,2,0,4,4,4,4,4,2,0,4,0
22,"Orwell, George",1984,71,Goldstein,person,4,0,2,2,0,2,2,2,2,2,0
24,"Orwell, George",1984,99,Winston,person,1,1,1,1,1,1,2,1,1,2,1
25,"Orwell, George",1984,103,Winston,person,0,0,0,1,1,1,2,1,0,1,1
29,"Orwell, George",1984,118,Winston,person,1,0,1,1,0,1,0,1,0,0,-1
31,"Orwell, George",1984,122,Big Brother,person,0,0,0,2,0,2,2,2,0,2,0
33,"Orwell, George",1984,127,Winston,person,0,0,0,0,1,0,2,0,0,0,2
42,"Orwell, George",1984,139,O'Brien,person,0,0,0,0,0,0,2,0,0,0,2
47,"Orwell, George",1984,150,Goldstein,person,0,0,0,0,2,0,2,0,0,2,2
58,"Orwell, George",1984,162,Big Brother,person,0,0,0,0,0,0,1,0,0,1,1
61,"Orwell, George",1984,169,Winston,person,2,0,2,4,2,2,4,2,2,0,2
62,"Orwell, George",1984,169,Parsons,person,2,0,2,4,2,2,4,2,2,0,2
64,"Orwell, George",1984,173,Big Brother,person,0,0,0,0,0,0,2,0,0,0,2
72,"Orwell, George",1984,187,Parsons,person,2,2,0,4,0,4,0,0,4,0,-4
80,"Orwell, George",1984,194,Ben,person,0,1,2,0,0,2,1,0,0,0,-1
83,"Orwell, George",1984,200,Goldstein,person,6,12,3,6,3,6,9,3,3,12,3
84,"Orwell, George",1984,200,Big Brother,person,6,12,3,6,3,6,9,3,3,12,3
99,"Orwell, George",1984,222,Big Brother,person,0,0,0,0,0,0,2,0,0,1,2
100,"Orwell, George",1984,223,Winston,person,0,2,0,2,1,2,3,0,0,1,1
110,"Orwell, George",1984,237,Winston,person,2,4,2,2,0,2,0,2,0,0,-2
112,"Orwell, George",1984,240,Ingsoc,person,0,0,0,0,0,0,2,0,0,4,2
116,"Orwell, George",1984,245,O'Brien,person,2,2,2,2,2,2,2,2,2,0,0
127,"Orwell, George",1984,268,O'Brien,person,0,1,0,0,1,0,1,0,0,1,1
128,"Orwell, George",1984,269,Winston,person,1,0,0,0,0,0,0,0,0,0,0
130,"Orwell, George",1984,272,Winston,person,1,1,1,1,0,2,1,0,0,0,-1
131,"Orwell, George",1984,275,O'Brien,person,0,0,0,0,0,1,0,0,0,0,-1
132,"Orwell, George",1984,276,Winston,person,0,0,0,0,1,0,2,0,0,1,2
133,"Orwell, George",1984,278,O'Brien,person,0,0,0,0,0,0,2,0,0,4,2
138,"Orwell, George",1984,285,Winston,person,0,0,0,0,0,0,4,0,0,0,4
140,"Orwell, George",1984,289,O'Brien,person,0,0,0,2,0,2,0,2,0,0,-2
142,"Orwell, George",1984,290,Winston,person,6,4,2,4,2,6,2,4,0,2,-4
145,"Orwell, George",1984,292,Charrington,person,0,0,0,0,0,0,0,0,0,2,0
163,"Orwell, George",1984,312,Winston,person,2,0,2,2,0,4,0,2,0,0,-4
167,"Orwell, George",1984,319,Goldstein,person,6,0,6,12,3,18,33,9,0,24,15
168,"Orwell, George",1984,319,Big Brother,person,6,0,6,12,3,18,33,9,0,24,15
172,"Orwell, George",1984,328,O'Brien,person,0,2,0,2,2,0,2,0,2,0,2
175,"Orwell, George",1984,332,Ingsoc,person,3,0,0,3,0,3,0,3,0,0,-3
184,"Orwell, George",1984,348,Syme,person,0,2,0,0,2,2,2,2,2,2,0
190,"Orwell, George",1984,353,Winston,person,0,0,0,0,0,0,0,2,0,0,0
192,"Orwell, George",1984,356,Winston,person,1,1,1,1,2,2,3,1,1,3,1
203,"Orwell, George",1984,376,Ben,person,0,0,0,0,0,2,0,2,0,2,-2
209,"Orwell, George",1984,390,Winston,person,2,1,0,2,0,3,0,2,0,0,-3
213,"Orwell, George",1984,396,O'Brien,person,0,0,0,0,0,0,2,0,0,0,2
217,"Orwell, George",1984,398,Winston,person,3,0,3,0,0,6,0,0,0,3,-6
218,"Orwell, George",1984,398,Parsons,person,3,0,3,0,0,6,0,0,0,3,-6
224,"Orwell, George",1984,411,Winston,person,0,0,0,0,0,0,1,0,0,0,1
228,"Orwell, George",1984,417,Big Brother,person,0,0,0,0,4,0,6,0,0,2,6
229,"Orwell, George",1984,420,Winston,person,0,3,0,0,3,0,3,0,0,3,3
230,"Orwell, George",1984,420,O'Brien,person,0,3,0,0,3,0,3,0,0,3,3
234,"Orwell, George",1984,424,Ingsoc,person,2,0,2,4,0,6,8,2,2,6,2
236,"Orwell, George",1984,425,O'Brien,person,0,0,0,1,1,0,1,0,1,0,1
238,"Orwell, George",1984,427,Winston,person,0,0,0,0,0,2,0,0,0,0,-2
242,"Orwell, George",1984,438,Winston,person,0,0,0,0,0,0,2,0,0,2,2
250,"Orwell, George",1984,453,Winston,person,0,0,0,0,0,0,2,0,0,1,2
253,"Orwell, George",1984,457,Winston,person,0,0,0,0,0,3,3,0,0,0,0
254,"Orwell, George",1984,457,Julia,person,0,0,0,0,0,3,3,0,0,0,0
263,"Orwell, George",1984,474,Winston,person,0,0,1,0,0,1,0,0,0,0,-1
266,"Orwell, George",1984,477,Big Brother,person,18,12,15,21,3,21,12,12,12,6,-9
