,author,title,entity,kind,total,gender
2,"Cavendish, Margaret",Blazing World,Ladies,person,10,f
4,"Cavendish, Margaret",Blazing World,Lord,person,12.88888889,m
5,"Cavendish, Margaret",Blazing World,Moses,person,4.666666667,m
7,"Cavendish, Margaret",Blazing World,Noble,person,29,m
8,"Cavendish, Margaret",Blazing World,Noble Friends,person,45,m
9,"Cavendish, Margaret",Blazing World,Warr,person,6,m
10,"Cavendish, Margaret",Blazing World,Your Majesty,person,8,f
11,"Gilman, Charlotte Perkins",Herland,Alma,person,1,f
12,"Gilman, Charlotte Perkins",Herland,Christian,person,2,m
13,"Gilman, Charlotte Perkins",Herland,Ellador,person,3.333333333,f
14,"Gilman, Charlotte Perkins",Herland,Jeff,person,2.236842105,m
17,"Gilman, Charlotte Perkins",Herland,Somel,person,1.705882353,f
18,"Gilman, Charlotte Perkins",Herland,Terry,person,1.389830508,m
19,"Gilman, Charlotte Perkins",Herland,Thomas,person,3,m
20,"Gilman, Charlotte Perkins",Herland,Van,person,1,m
21,"Gilman, Charlotte Perkins",Herland,Zava,person,1.5,f
22,"More, Thomas, Saint",Utopia,Americus Vesputius,person,-2,m
23,"More, Thomas, Saint",Utopia,Ben,person,1,m
24,"More, Thomas, Saint",Utopia,Chancellor,person,10,m
25,"More, Thomas, Saint",Utopia,Charles,person,21,m
26,"More, Thomas, Saint",Utopia,Christian,person,10,m
27,"More, Thomas, Saint",Utopia,Cuthbert Tonstal,person,14,m
33,"More, Thomas, Saint",Utopia,John Colt,person,-1,m
34,"More, Thomas, Saint",Utopia,John Morton,person,10,m
35,"More, Thomas, Saint",Utopia,Margaret,person,-5,f
37,"More, Thomas, Saint",Utopia,Peter,person,6,m
38,"More, Thomas, Saint",Utopia,Raphael,person,9,m
42,Rokheya Shekhawat Hossein,Sultana’s Dream,Sister Sara,person,0,f
