,text,title,author
1,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,Ursula K. Le Guin
2,"With a clamor of bells that set the swallows soaring, the Festival of Summer came to the city",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
3,"Omelas, bright-towered by the sea. The rigging of the boats in harbor sparkled with flags. In the",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
4,"streets between houses with red roofs and painted walls, between old moss-grown gardens and",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
5,"under avenues of trees, past great parks and public buildings, processions moved. Some were",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
6,"decorous: old people in long stiff robes of mauve and grey, grave master workmen, quiet, merry",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
7,"women carrying their babies and chatting as they walked. In other streets the music beat faster,",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
8,"a shimmering of gong and tambourine, and the people went dancing, the procession was a",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
9,"dance. Children dodged in and out, their high calls rising like the swallows crossing flights over",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
10,"the music and the singing. All the processions wound towards the north side of the city, where",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
11,"on the great water-meadow called the Green Fields boys and girls, naked in the bright air, with",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
12,"mud-stained feet and ankles and long, lithe arms, exercised their restive horses before the race.",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
13,The horses wore no gear at all but a halter without bit. Their manes were braided with streamers,The Ones Who Walk Away From Omelas,Ursula K. Le Guin
14,"of silver, gold, and green. They flared their nostrils and pranced and boasted to one another;",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
15,"they were vastly excited, the horse being the only animal who has adopted our ceremonies as",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
16,his own. Far off to the north and west the mountains stood up half encircling Omelas on her bay.,The Ones Who Walk Away From Omelas,Ursula K. Le Guin
17,The air of morning was so clear that the snow still crowning the Eighteen Peaks burned with,The Ones Who Walk Away From Omelas,Ursula K. Le Guin
18,"white-gold fire across the miles of sunlit air, under the dark blue of the sky. There was just",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
19,enough wind to make the banners that marked the racecourse snap and flutter now and then. In,The Ones Who Walk Away From Omelas,Ursula K. Le Guin
20,the silence of the broad green meadows one could hear the music winding through the city,The Ones Who Walk Away From Omelas,Ursula K. Le Guin
21,"streets, farther and nearer and ever approaching, a cheerful faint sweetness of the air that from",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
