,author,title,id,type,start,end,constituents,words,kind
51,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,1,sentence,1,96,55:70,actually the handsomest building in town though plainer than the magnificent Farmers‚Äô Market,NA
1,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,1,sentence,1,146,51:80,Ursula K Le Guin With a clamor of bells that set the swallows soaring the Festival of Summer came to the city Omelas brighttowered by the sea,NA
52,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,2,sentence,98,183,71:88,But even granted trains I fear that Omelas so far strikes some of you as goodygoody,NA
106,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,1,sentence,1,200,60:96,s locked and nobody ever comes except that sometimes‚Äthe child has no understanding of time or interval‚Äsometimes the door rattles terribly and opens and a person or several people are there,NA
2,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,2,sentence,148,202,81:91,The rigging of the boats in harbor sparkled with flags,NA
53,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,3,sentence,185,221,89:98,Smiles bells parades horses bleh,NA
54,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,4,sentence,223,248,99:106,If so please add an orgy,NA
107,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,2,sentence,202,264,97:112,One of them may come in and kick the child to make it stand up,NA
55,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,5,sentence,250,289,107:115,If an orgy would help don‚Äôt hesitate,NA
108,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,3,sentence,266,344,113:129,The others never come close but peer in at it with frightened disgusted eyes,NA
3,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,3,sentence,204,383,92:123,In the streets between houses with red roofs and painted walls between old mossgrown gardens and under avenues of trees past great parks and public buildings processions moved,NA
109,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,4,sentence,346,436,130:149,The food bowl and the water jug are hastily filled the door is locked the eyes disappear,NA
4,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,4,sentence,385,545,124:155,Some were decorous old people in long stiff robes of mauve and grey grave master workmen quiet merry women carrying their babies and chatting as they walked,NA
56,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,6,sentence,291,554,116:167,Let us not however have temples from which issue beautiful nude priests and priestesses already half in ecstasy and ready to copulate with any man or woman lover or stranger who desires union with the deep godhead of the blood although that was my first idea,NA
110,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,5,sentence,438,607,150:184,The people at the door never say anything but the child who has not always lived in the tool room and can remember sunlight and its mother‚Äôs voice sometimes speaks,NA
111,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,6,sentence,609,638,185:194,‚ÄúI will be good‚Äù it says,NA
57,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,7,sentence,556,650,168:186,But really it would be better not to have any temples in Omelas‚Äat least not manned temples,NA
112,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,7,sentence,640,660,195:199,‚ÄúPlease let me out,NA
58,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,8,sentence,652,675,187:192,Religion yes clergy no,NA
5,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,5,sentence,547,679,156:182,In other streets the music beat faster a shimmering of gong and tambourine and the people went dancing the procession was a dance,NA
113,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,8,sentence,662,679,200:205,I will be good‚Äù,NA
114,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,9,sentence,681,698,206:209,They never answer,NA
6,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,6,sentence,681,801,183:205,Children dodged in and out their high calls rising like the swallows‚Äô crossing flights over the music and the singing,NA
59,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,9,sentence,677,823,193:219,Surely the beautiful nudes can just wander about offering themselves like divine souffles to the hunger of the needy and the rapture of the flesh,NA
60,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,10,sentence,825,854,220:225,Let them join the processions,NA
115,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,10,sentence,700,861,210:248,The child used to scream for help at night and cry a good deal but now it only makes a kind of whining ‚Äúehhaa ehhaa‚Äù and it speaks less and less often,NA
116,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,11,sentence,863,984,249:277,It is so thin there are no calves to its legs its belly protrudes  it lives on a halfbowl of corn meal and grease a day,NA
117,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,12,sentence,986,997,278:281,It is naked,NA
7,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,7,sentence,803,1063,206:255,All the processions wound towards the north side of the city where on the great watermeadow called the Green Fields boys and girls naked in the bright air with mudstained feet and ankles and long lithe arms exercised their restive horses before the race,NA
61,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,11,sentence,856,1069,226:266,Let tambourines be struck above the copulations and the glory of desire be proclaimed upon the gongs and a not unimportant point let the offspring of these delightful rituals be beloved and looked after by all,NA
118,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,13,sentence,1000,1097,282:301,Its buttocks and thighs are a mass of festered sores as it sits in its own excrement continually,NA
8,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,8,sentence,1065,1120,256:268,The horses wore no gear at all but a halter without bit,NA
62,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,12,sentence,1071,1123,267:279,One thing I know there is none of in Omelas is guilt,NA
119,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,14,sentence,1099,1150,302:314,They all know it is there all the people of Omelas,NA
63,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,13,sentence,1125,1154,280:286,But what else should there be,NA
9,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,9,sentence,1122,1188,269:282,Their manes were braided with streamers of silver gold and green,NA
64,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,14,sentence,1156,1220,287:300,I thought at first there were not drugs but that is puritanical,NA
120,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,15,sentence,1152,1231,315:333,Some of them have come to see it others are content merely to know it is there,NA
121,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,16,sentence,1233,1270,334:343,They all know that it has to be there,NA
10,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,10,sentence,1190,1356,283:314,They flared their nostrils and pranced and boasted to one another they were vastly excited the horse being the only animal who has adopted our ceremonies as his own,NA
11,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,11,sentence,1358,1444,315:332,Far off to the north and west the mountains stood up half encircling Omelas on her bay,NA
65,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,15,sentence,1222,1610,301:377,For those who like it the faint insistent sweetness of drooz may perfume the ways of the city drooz which first brings a great lightness and brilliance to the mind and limbs and then after some hours a dreamy languor and wonderful visions at last of the very arcana and inmost secrets of the Universe as well as exciting the pleasure of sex beyond belief and it is not habitforming,NA
12,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,12,sentence,1446,1616,333:366,The air of morning was so clear that the snow still crowning the Eighteen Peaks burned with whitegold fire across the miles of sunlit air under the dark blue of the sky,NA
122,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,17,sentence,1272,1639,344:414,Some of them understand why and some do not but they all understand that their happiness the beauty of their city the tenderness of their friendships the health of their children the wisdom of their scholars the skill of their makers even the abundance of their harvest and the kindly weathers of their skies depend wholly on this child‚Äôs abominable misery,NA
66,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,16,sentence,1612,1665,378:389,For more modest tastes I think there ought to be beer,NA
67,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,17,sentence,1667,1714,390:400,What else what else belongs in the joyous city,NA
13,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,13,sentence,1618,1721,367:386,There was just enough wind to make the banners that marked the racecourse snap and flutter now and then,NA
68,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,18,sentence,1716,1772,401:412,The sense of victory surely the celebration of courage,NA
69,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,19,sentence,1774,1830,413:425,But as we did without clergy let us do without soldiers,NA
123,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,18,sentence,1641,1893,415:465,This is usually explained to children when they are between eight and twelve whenever they seem capable of understanding and most of those who come to see the child are young people though often enough an adult comes or comes back to see the child,NA
70,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,20,sentence,1832,1949,426:452,The joy built upon successful slaughter is not the right kind of joy it will not do it is fearful and it is trivial,NA
14,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,14,sentence,1723,2014,387:440,In the silence of the broad green meadows one could hear the music winding through the city streets farther and nearer and ever approaching a cheerful faint sweetness of the air that from time to time trembled and gathered together and broke out into the great joyous clanging of the bells,NA
124,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,19,sentence,1895,2020,466:489,No matter how well the matter has been explained to them these young spectators are always shocked and sickened at the sight,NA
15,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,15,sentence,2016,2022,441:442,Joyous,NA
16,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,16,sentence,2024,2052,443:450,How is one to tell about joy,NA
125,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,20,sentence,2022,2086,490:501,They feel disgust which they had thought themselves superior to,NA
17,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,17,sentence,2054,2089,451:457,How describe the citizens of Omelas,NA
18,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,18,sentence,2091,2149,458:471,They were not simple folk you see though they were happy,NA
126,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,21,sentence,2088,2153,502:514,They feel anger outrage impotence despite all the explanations,NA
127,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,22,sentence,2155,2200,515:524,They would like to do something for the child,NA
19,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,19,sentence,2151,2201,472:484,But we do not say the words of cheer much any more,NA
20,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,20,sentence,2203,2233,485:490,All smiles have become archaic,NA
128,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,23,sentence,2202,2234,525:532,But there is nothing they can do,NA
71,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,21,sentence,1951,2269,453:512,A boundless and generous contentment a magnanimous triumph felt not against some outer enemy but in communion with the finest and fairest in the souls of all men everywhere and the splendor of the world‚Äôs summer this is what swells the hearts of the people of Omelas and the victory they celebrate is that of life,NA
21,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,21,sentence,2235,2305,491:503,Given a description such as this one tends to make certain assumptions,NA
72,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,22,sentence,2271,2325,513:524,I really don‚Äôt think many of them need to take drooz,NA
73,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,23,sentence,2327,2386,525:536,Most of the procession have reached the Green Fields by now,NA
74,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,24,sentence,2388,2475,537:553,A marvelous smell of cooking goes forth from the red and blue tents of the provisioners,NA
165,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,1251,entity,2471,2476,NULL,Omelas,location
22,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,22,sentence,2307,2504,504:541,Given a description such as this one tends to look next for the King mounted on a splendid stallion and surrounded by his noble knights or perhaps in a golden litter borne by greatmuscled slaves,NA
129,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,24,sentence,2236,2507,533:590,If the child were brought up into the sunlight out of that vile place if it were cleaned and fed and comforted that would be a good thing indeed but if it were done in that day and hour all the prosperity and beauty and delight of Omelas would wither and be destroyed,NA
23,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,23,sentence,2506,2527,542:547,But there was no king,NA
130,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,25,sentence,2509,2528,591:595,Those are the terms,NA
24,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,24,sentence,2529,2568,548:557,They did not use swords or keep slaves,NA
25,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,25,sentence,2570,2594,558:562,They were not barbarians,NA
75,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,25,sentence,2477,2606,554:580,The faces of small children are amiably sticky in the benign grey beard of a man a couple of crumbs of rich pastry are entangled,NA
26,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,26,sentence,2596,2690,563:583,I do not know the rules and laws of their society but I suspect that they were singularly few,NA
76,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,26,sentence,2608,2720,581:601,The youths and girls have mounted their horses and are beginning to group around the starting line of the course,NA
131,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,26,sentence,2530,2760,596:641,To exchange all the goodness and grace of every life in Omelas for that single small improvement to throw away the happiness of thousands for the chance of the happiness of one that would be to let guilt within the walls indeed,NA
27,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,27,sentence,2692,2832,584:612,As they did without monarchy and slavery so they also got on without the stock exchange the advertisement the secret police and the bomb,NA
132,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,27,sentence,2763,2851,642:661,The terms are strict and absolute there may not even be a kind word spoken to the child,NA
77,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,27,sentence,2722,2857,602:632,An old women small fat and laughing is passing out flowers from a basket and tall young men wear her flowers in their shining hair,NA
28,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,28,sentence,2834,2931,613:632,Yet I repeat that these were not simple folk not dulcet shepherds noble savages bland utopians,NA
78,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,28,sentence,2859,2945,633:654,A child of nine or ten sits at the edge of the crowd alone playing on a wooden flute,NA
29,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,29,sentence,2933,2967,633:640,They were not less complex than us,NA
133,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,28,sentence,2853,2978,662:688,Often the young people go home in tears or in a tearless rage when they have seen the child and faced this terrible paradox,NA
134,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,29,sentence,2980,3021,689:698,They may brood over it for weeks or years,NA
30,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,30,sentence,2969,3102,641:664,The trouble is that we have a bad habit encouraged by pedants and sophisticates of considering happiness as something rather stupid,NA
79,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,29,sentence,2947,3128,655:696,People pause to listen and they smile but they do not speak to him for he never ceases playing and never sees them his dark eyes wholly rapt in the sweet thin magic of the tune,NA
31,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,31,sentence,3104,3152,665:673,Only pain is intellectual only evil interesting,NA
80,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,30,sentence,3130,3195,697:709,He finishes and slowly lowers his hands holding the wooden flute,NA
135,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,30,sentence,3023,3219,699:742,But as time goes on they begin to realize that even if the child could be released it would not get much good of its freedom a little vague pleasure of warmth and food no doubt but little more,NA
32,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,32,sentence,3154,3261,674:696,This is the treason of the artist a refusal to admit the banality of evil and the terrible boredom of pain,NA
136,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,31,sentence,3221,3273,743:754,It is too degraded and imbecile to know any real joy,NA
33,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,33,sentence,3263,3300,697:705,If you can‚Äôt lick ‚Äòem join ‚Äòem,NA
34,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,34,sentence,3302,3324,706:712,If it hurts repeat it,NA
137,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,32,sentence,3275,3326,755:767,It has been afraid too long ever to be free of fear,NA
