,author,title,words,kind
1,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,Omelas,location
2,Rokheya Shekhawat Hossein,Sultana’s Dream,Barnita Bagchi,person
3,Rokheya Shekhawat Hossein,Sultana’s Dream,Sister Sara,person
4,Rokheya Shekhawat Hossein,Sultana’s Dream,Will,person
5,Rokheya Shekhawat Hossein,Sultana’s Dream,New Delhi,location
6,Rokheya Shekhawat Hossein,Sultana’s Dream,India,location
8,Rokheya Shekhawat Hossein,Sultana’s Dream,Queen,person
10,Rokheya Shekhawat Hossein,Sultana’s Dream,Love,location
12,"Gilman, Charlotte Perkins",Herland,Nicholson,person
13,"Gilman, Charlotte Perkins",Herland,Nicholson,person
14,"Gilman, Charlotte Perkins",Herland,Jeff Margrave,person
15,"Gilman, Charlotte Perkins",Herland,Terry,person
16,"Gilman, Charlotte Perkins",Herland,Jeff Margrave,person
17,"Gilman, Charlotte Perkins",Herland,Charlotte,location
18,"Gilman, Charlotte Perkins",Herland,Van,person
21,"Gilman, Charlotte Perkins",Herland,Solomon,person
22,"Gilman, Charlotte Perkins",Herland,Jeff Margrave,person
23,"Gilman, Charlotte Perkins",Herland,Germany,location
24,"Gilman, Charlotte Perkins",Herland,Terry,location
25,"Gilman, Charlotte Perkins",Herland,Mike,person
26,"Gilman, Charlotte Perkins",Herland,Europe,location
27,"Gilman, Charlotte Perkins",Herland,United States,location
29,"Gilman, Charlotte Perkins",Herland,California,location
30,"Gilman, Charlotte Perkins",Herland,London,location
31,"Gilman, Charlotte Perkins",Herland,Peru,location
32,"Gilman, Charlotte Perkins",Herland,Jeff Margrave,person
34,"Gilman, Charlotte Perkins",Herland,Christian,location
35,"Gilman, Charlotte Perkins",Herland,Ladies,person
36,"Gilman, Charlotte Perkins",Herland,China,location
37,"Gilman, Charlotte Perkins",Herland,Japan,location
38,"Gilman, Charlotte Perkins",Herland,Thomas,person
39,"Gilman, Charlotte Perkins",Herland,Temple,location
40,"Gilman, Charlotte Perkins",Herland,Temple,location
41,"Gilman, Charlotte Perkins",Herland,Zava,person
42,"Gilman, Charlotte Perkins",Herland,United States,location
43,"Gilman, Charlotte Perkins",Herland,Great Sea,location
44,"Gilman, Charlotte Perkins",Herland,Mars,location
45,"Gilman, Charlotte Perkins",Herland,Egypt,location
46,"Gilman, Charlotte Perkins",Herland,Greece,location
47,"Gilman, Charlotte Perkins",Herland,Holland,location
48,"Gilman, Charlotte Perkins",Herland,Somel,person
49,"Gilman, Charlotte Perkins",Herland,Henry V,person
50,"Gilman, Charlotte Perkins",Herland,Herland,location
51,"Gilman, Charlotte Perkins",Herland,Plato,person
53,"Gilman, Charlotte Perkins",Herland,Alma,person
54,"Gilman, Charlotte Perkins",Herland,Celis,location
56,"Gilman, Charlotte Perkins",Herland,Ellador,person
57,"Gilman, Charlotte Perkins",Herland,Peace,person
58,"Gilman, Charlotte Perkins",Herland,Beauty,person
60,"Gilman, Charlotte Perkins",Herland,Signora Montessori,person
61,"Gilman, Charlotte Perkins",Herland,Powers,person
62,"Gilman, Charlotte Perkins",Herland,Devil,person
63,"Gilman, Charlotte Perkins",Herland,Temple Mothers,location
64,"Gilman, Charlotte Perkins",Herland,Nicholson,person
65,"Gilman, Charlotte Perkins",Herland,Venus,person
66,"Gilman, Charlotte Perkins",Herland,Almroth Wright,person
67,"Gilman, Charlotte Perkins",Herland,Jeff Margrave,person
68,"Gilman, Charlotte Perkins",Herland,Ellador,location
69,"Gilman, Charlotte Perkins",Herland,South Sea,location
70,"Gilman, Charlotte Perkins",Herland,Arctic,location
71,"Gilman, Charlotte Perkins",Herland,D Bacon,person
72,"Gilman, Charlotte Perkins",Herland,Almroth Wright,person
116,"More, Thomas, Saint",Utopia,Americus Vesputius,person
100,"More, Thomas, Saint",Utopia,Antwerp,location
99,"More, Thomas, Saint",Utopia,Austria,location
91,"More, Thomas, Saint",Utopia,Canterbury,location
118,"More, Thomas, Saint",Utopia,Chancellor,person
87,"More, Thomas, Saint",Utopia,Charles,person
110,"More, Thomas, Saint",Utopia,Christian,person
111,"More, Thomas, Saint",Utopia,Cuthbert Tonstal,person
84,"More, Thomas, Saint",Utopia,Edward,person
92,"More, Thomas, Saint",Utopia,Ely,location
98,"More, Thomas, Saint",Utopia,England,location
95,"More, Thomas, Saint",Utopia,Essex,location
133,"More, Thomas, Saint",Utopia,Euripides,person
127,"More, Thomas, Saint",Utopia,Europe,location
113,"More, Thomas, Saint",Utopia,France,location
112,"More, Thomas, Saint",Utopia,George Temse,person
106,"More, Thomas, Saint",Utopia,Gilbert Burnet,person
79,"More, Thomas, Saint",Utopia,Henry VII,person
82,"More, Thomas, Saint",Utopia,Henry VIII,person
135,"More, Thomas, Saint",Utopia,Himself,person
93,"More, Thomas, Saint",Utopia,Italy,location
108,"More, Thomas, Saint",Utopia,James,person
83,"More, Thomas, Saint",Utopia,John Colt,person
74,"More, Thomas, Saint",Utopia,John More,person
75,"More, Thomas, Saint",Utopia,John Morton,person
96,"More, Thomas, Saint",Utopia,King Edward,location
114,"More, Thomas, Saint",Utopia,King of England,person
123,"More, Thomas, Saint",Utopia,King of France,person
101,"More, Thomas, Saint",Utopia,Latin,location
