,author,title,words,kind,gender
1,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,Omelas,location,
2,Rokheya Shekhawat Hossein,Sultana’s Dream,Barnita Bagchi,person,f
3,Rokheya Shekhawat Hossein,Sultana’s Dream,Sister Sara,person,f
5,Rokheya Shekhawat Hossein,Sultana’s Dream,New Delhi,location,
6,Rokheya Shekhawat Hossein,Sultana’s Dream,India,location,
8,Rokheya Shekhawat Hossein,Sultana’s Dream,Queen,person,f
10,Rokheya Shekhawat Hossein,Sultana’s Dream,Love,location,
12,"Gilman, Charlotte Perkins",Herland,Nicholson,person,m
14,"Gilman, Charlotte Perkins",Herland,Jeff Margrave,person,m
15,"Gilman, Charlotte Perkins",Herland,Terry,person,m
17,"Gilman, Charlotte Perkins",Herland,Charlotte,location,
18,"Gilman, Charlotte Perkins",Herland,Van,person,m
21,"Gilman, Charlotte Perkins",Herland,Solomon,person,m
23,"Gilman, Charlotte Perkins",Herland,Germany,location,
24,"Gilman, Charlotte Perkins",Herland,Terry,location,
25,"Gilman, Charlotte Perkins",Herland,Mike,person,m
26,"Gilman, Charlotte Perkins",Herland,Europe,location,
27,"Gilman, Charlotte Perkins",Herland,United States,location,
29,"Gilman, Charlotte Perkins",Herland,California,location,
30,"Gilman, Charlotte Perkins",Herland,London,location,
31,"Gilman, Charlotte Perkins",Herland,Peru,location,
34,"Gilman, Charlotte Perkins",Herland,Christian,location,
36,"Gilman, Charlotte Perkins",Herland,China,location,
37,"Gilman, Charlotte Perkins",Herland,Japan,location,
38,"Gilman, Charlotte Perkins",Herland,Thomas,person,m
39,"Gilman, Charlotte Perkins",Herland,Temple,location,
40,"Gilman, Charlotte Perkins",Herland,Temple,location,
41,"Gilman, Charlotte Perkins",Herland,Zava,person,f
42,"Gilman, Charlotte Perkins",Herland,United States,location,
43,"Gilman, Charlotte Perkins",Herland,Great Sea,location,
44,"Gilman, Charlotte Perkins",Herland,Mars,location,
45,"Gilman, Charlotte Perkins",Herland,Egypt,location,
46,"Gilman, Charlotte Perkins",Herland,Greece,location,
47,"Gilman, Charlotte Perkins",Herland,Holland,location,
48,"Gilman, Charlotte Perkins",Herland,Somel,person,f
50,"Gilman, Charlotte Perkins",Herland,Herland,location,
53,"Gilman, Charlotte Perkins",Herland,Alma,person,f
