"","author","title","entity","kind","total"
"1","Cavendish, Margaret","The Description of a New World, Called The Blazing-World","Alexander","person",7.33333333333333
"2","Cavendish, Margaret","The Description of a New World, Called The Blazing-World","Columbus","person",2
"3","Cavendish, Margaret","The Description of a New World, Called The Blazing-World","Epicure Mammon","person",3
"4","Cavendish, Margaret","The Description of a New World, Called The Blazing-World","Henry","person",9
"5","Cavendish, Margaret","The Description of a New World, Called The Blazing-World","Jews","person",5.25
"6","Cavendish, Margaret","The Description of a New World, Called The Blazing-World","Kelly","person",2
"7","Cavendish, Margaret","The Description of a New World, Called The Blazing-World","King","person",6
"8","Cavendish, Margaret","The Description of a New World, Called The Blazing-World","Majesty","person",3.28169014084507
"9","Cavendish, Margaret","The Description of a New World, Called The Blazing-World","Moses","person",3.75
"10","Cavendish, Margaret","The Description of a New World, Called The Blazing-World","Noble Ladies","person",7.85714285714286
"11","Cavendish, Margaret","The Description of a New World, Called The Blazing-World","Queen","person",18
"12","Cavendish, Margaret","The Description of a New World, Called The Blazing-World","Van","person",1.5
"13","Gilman, Charlotte Perkins","Herland","Alma","person",1
"14","Gilman, Charlotte Perkins","Herland","Ellador","person",1.31111111111111
"15","Gilman, Charlotte Perkins","Herland","Jeff Margrave","person",4.5
"16","Gilman, Charlotte Perkins","Herland","Mike","person",1
"17","Gilman, Charlotte Perkins","Herland","Nicholson","person",8
"18","Gilman, Charlotte Perkins","Herland","Queen","person",2
"19","Gilman, Charlotte Perkins","Herland","Solomon","person",1
"20","Gilman, Charlotte Perkins","Herland","Somel","person",1.46153846153846
"21","Gilman, Charlotte Perkins","Herland","Terry","person",0.67741935483871
"22","Gilman, Charlotte Perkins","Herland","Thomas","person",3
"23","Gilman, Charlotte Perkins","Herland","Van","person",2.66666666666667
"24","Gilman, Charlotte Perkins","Herland","Zava","person",1.625
"25","More, Thomas, Saint","Utopia","Henry","person",1.4
"26","More, Thomas, Saint","Utopia","Jews","person",-1
"27","More, Thomas, Saint","Utopia","John More","person",6
"28","More, Thomas, Saint","Utopia","John Morton","person",1
"29","More, Thomas, Saint","Utopia","King","person",4.66666666666667
"30","More, Thomas, Saint","Utopia","Majesty","person",5
"31","More, Thomas, Saint","Utopia","Morton","person",2.33333333333333
"32","More, Thomas, Saint","Utopia","Peter Giles","person",5.5
"33","More, Thomas, Saint","Utopia","Raphael","person",1.9
"34","More, Thomas, Saint","Utopia","Solomon","person",-5
"35","More, Thomas, Saint","Utopia","Thomas","person",3
"36","Rokheya Shekhawat Hossein","Sultana’s Dream","Barnita Bagchi","person",0
"37","Rokheya Shekhawat Hossein","Sultana’s Dream","Queen","person",1.26666666666667
"38","Rokheya Shekhawat Hossein","Sultana’s Dream","Sister Sara","person",0.666666666666667
"39","Ursula K. Le Guin","The Ones Who Walk Away From Omelas","King","person",3
