,author,title,entity,kind,total,gender
1,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Alexander,person,7.333333333,m
2,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Columbus,person,2,m
4,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Henry,person,9,m
6,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Kelly,person,2,m
7,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",King,person,6,m
8,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Majesty,person,3.281690141,f
9,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Moses,person,3.75,m
10,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Noble Ladies,person,7.857142857,f
11,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Queen,person,18,f
13,"Gilman, Charlotte Perkins",Herland,Alma,person,1,f
14,"Gilman, Charlotte Perkins",Herland,Ellador,person,1.311111111,f
15,"Gilman, Charlotte Perkins",Herland,Jeff Margrave,person,4.5,m
16,"Gilman, Charlotte Perkins",Herland,Mike,person,1,m
17,"Gilman, Charlotte Perkins",Herland,Nicholson,person,8,m
18,"Gilman, Charlotte Perkins",Herland,Queen,person,2,f
20,"Gilman, Charlotte Perkins",Herland,Somel,person,1.461538462,f
21,"Gilman, Charlotte Perkins",Herland,Terry,person,0.677419355,m
22,"Gilman, Charlotte Perkins",Herland,Thomas,person,3,m
23,"Gilman, Charlotte Perkins",Herland,Van,person,2.666666667,m
24,"Gilman, Charlotte Perkins",Herland,Zava,person,1.625,f
27,"More, Thomas, Saint",Utopia,John More,person,6,m
31,"More, Thomas, Saint",Utopia,Morton,person,2.333333333,m
32,"More, Thomas, Saint",Utopia,Peter Giles,person,5.5,m
33,"More, Thomas, Saint",Utopia,Raphael,person,1.9,m
34,"More, Thomas, Saint",Utopia,Solomon,person,-5,m
35,"More, Thomas, Saint",Utopia,Thomas,person,3,m
36,Rokheya Shekhawat Hossein,Sultana’s Dream,Barnita Bagchi,person,0,f
37,Rokheya Shekhawat Hossein,Sultana’s Dream,Queen,person,1.266666667,f
38,Rokheya Shekhawat Hossein,Sultana’s Dream,Sister Sara,person,0.666666667,f
