,author,title,words.x,sentence_nr,words.y,kind
1,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,Ursula K Le Guin With a clamor of bells that set the swallows soaring the Festival of Summer came to the city Omelas brighttowered by the sea,1,Omelas,location
2,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,Far off to the north and west the mountains stood up half encircling Omelas on her bay,11,Omelas,location
3,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,How describe the citizens of Omelas,17,Omelas,location
4,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,How can I tell you about the people of Omelas,37,Omelas,location
5,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,Omelas sounds in my words like a city in a fairy tale long ago and far away once upon a time,42,Omelas,location
6,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,I think that there would be no cars or helicopters in and above the streets this follows from the fact that the people of Omelas are happy people,45,Omelas,location
7,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,I incline to think that people from towns up and down the coast have been coming in to Omelas during the last days before the Festival on very fast little trains and doubledecked trams and that the train station of Omelas is a,50,Omelas,location
8,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,But even granted trains I fear that Omelas so far strikes some of you as goodygoody,52,Omelas,location
9,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,But really it would be better not to have any temples in Omelasâ€at least not manned temples,57,Omelas,location
10,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,One thing I know there is none of in Omelas is guilt,62,Omelas,location
11,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,A boundless and generous contentment a magnanimous triumph felt not against some outer enemy but in communion with the finest and fairest in the souls of all men everywhere and the splendor of the worldâ€™s summer this is what swells the hearts of the people of Omelas and the victory they celebrate is that of life,71,Omelas,location
12,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,In a basement under one of the beautiful public buildings of Omelas or perhaps in the cellar of one of its spacious private homes there is a room,89,Omelas,location
13,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,They all know it is there all the people of Omelas,118,Omelas,location
14,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,If the child were brought up into the sunlight out of that vile place if it were cleaned and fed and comforted that would be a good thing indeed but if it were done in that day and hour all the prosperity and beauty and delight of Omelas would wither and be destroyed,128,Omelas,location
15,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,To exchange all the goodness and grace of every life in Omelas for that single small improvement to throw away the happiness of thousands for the chance of the happiness of one that would be to let guilt within the walls indeed,130,Omelas,location
16,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,They keep walking and walk straight out of the city of Omelas through the beautiful gates,153,Omelas,location
17,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,They keep walking across the farmlands of Omelas,154,Omelas,location
