,author,title,sentence_nr,entity,kind,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
4,Rokheya Shekhawat Hossein,Sultana’s Dream,15,Barnita Bagchi,person,0,1,0,0,0,0,0,0,0,0,0
5,Rokheya Shekhawat Hossein,Sultana’s Dream,33,Sister Sara,person,0,0,0,0,0,0,1,0,0,0,1
9,Rokheya Shekhawat Hossein,Sultana’s Dream,39,Sister Sara,person,0,0,0,0,2,0,2,0,0,2,2
12,Rokheya Shekhawat Hossein,Sultana’s Dream,42,Sister Sara,person,0,1,0,0,1,0,1,0,1,1,1
18,Rokheya Shekhawat Hossein,Sultana’s Dream,57,Sister Sara,person,0,1,0,0,0,0,0,0,0,0,0
19,Rokheya Shekhawat Hossein,Sultana’s Dream,58,Sister Sara,person,0,2,0,0,2,0,2,0,2,2,2
21,Rokheya Shekhawat Hossein,Sultana’s Dream,59,Sister Sara,person,4,0,4,8,0,6,4,6,2,4,-2
27,Rokheya Shekhawat Hossein,Sultana’s Dream,77,Sister Sara,person,0,0,0,0,2,0,6,0,0,0,6
33,"More, Thomas, Saint",Utopia,100,Thomas More,person,0,0,6,0,0,6,18,0,0,18,12
34,"More, Thomas, Saint",Utopia,100,John More,person,0,0,6,0,0,6,18,0,0,18,12
37,"More, Thomas, Saint",Utopia,100,Thomas,person,0,0,6,0,0,6,18,0,0,18,12
38,"More, Thomas, Saint",Utopia,100,Ben,person,0,0,6,0,0,6,18,0,0,18,12
41,"More, Thomas, Saint",Utopia,109,Solomon,person,4,4,12,2,4,16,6,2,4,10,-10
43,"More, Thomas, Saint",Utopia,113,Peter,person,3,3,0,0,3,3,6,0,6,6,3
45,"More, Thomas, Saint",Utopia,113,Raphael,person,3,3,0,0,3,3,6,0,6,6,3
48,"More, Thomas, Saint",Utopia,148,Gilbert Burnet,person,7,0,7,7,7,14,21,7,0,21,7
50,"More, Thomas, Saint",Utopia,148,James,person,7,0,7,7,7,14,21,7,0,21,7
52,"More, Thomas, Saint",Utopia,148,Lord,person,7,0,7,7,7,14,21,7,0,21,7
58,"More, Thomas, Saint",Utopia,162,Ben,person,3,2,2,3,0,4,7,3,0,2,3
59,"More, Thomas, Saint",Utopia,165,John Morton,person,0,0,15,0,0,15,10,0,0,15,-5
61,"More, Thomas, Saint",Utopia,165,Morton,person,0,0,15,0,0,15,10,0,0,15,-5
62,"More, Thomas, Saint",Utopia,165,Chancellor,person,0,0,15,0,0,15,10,0,0,15,-5
63,"More, Thomas, Saint",Utopia,165,Lord,person,0,0,15,0,0,15,10,0,0,15,-5
81,"More, Thomas, Saint",Utopia,203,Peter,person,0,0,0,0,0,0,2,0,0,0,2
98,"More, Thomas, Saint",Utopia,257,Morton,person,9,0,18,0,0,18,27,0,0,27,9
99,"More, Thomas, Saint",Utopia,257,Richard III,person,9,0,18,0,0,18,27,0,0,27,9
100,"More, Thomas, Saint",Utopia,257,Henry VII,person,9,0,18,0,0,18,27,0,0,27,9
102,"More, Thomas, Saint",Utopia,257,Henry,person,9,0,18,0,0,18,27,0,0,27,9
103,"More, Thomas, Saint",Utopia,257,Chancellor,person,9,0,18,0,0,18,27,0,0,27,9
104,"More, Thomas, Saint",Utopia,257,Henry V,person,9,0,18,0,0,18,27,0,0,27,9
105,"More, Thomas, Saint",Utopia,257,Lord,person,9,0,18,0,0,18,27,0,0,27,9
113,"More, Thomas, Saint",Utopia,280,Peter,person,0,6,0,0,6,3,15,3,3,15,12
114,"More, Thomas, Saint",Utopia,280,Charles,person,0,6,0,0,6,3,15,3,3,15,12
115,"More, Thomas, Saint",Utopia,280,Peter Giles,person,0,6,0,0,6,3,15,3,3,15,12
119,"More, Thomas, Saint",Utopia,295,Raphael,person,0,8,0,0,4,0,8,0,2,4,8
120,"More, Thomas, Saint",Utopia,298,Thomas More,person,0,3,0,0,3,0,9,0,3,0,9
121,"More, Thomas, Saint",Utopia,298,Morton,person,0,3,0,0,3,0,9,0,3,0,9
122,"More, Thomas, Saint",Utopia,298,Thomas,person,0,3,0,0,3,0,9,0,3,0,9
127,"More, Thomas, Saint",Utopia,317,Raphael,person,0,0,1,0,1,1,3,0,0,1,2
131,"More, Thomas, Saint",Utopia,331,Thomas More,person,0,0,0,0,0,0,7,0,0,7,7
132,"More, Thomas, Saint",Utopia,331,Thomas Linacre,person,0,0,0,0,0,0,7,0,0,7,7
