,author,title,type,start,end,words,kind
167,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1,115,Page No  1 Sultanas Dream By Rokheya Shekhawat Hossein Free Download Bangla Books from wwwwfreebanglabookscom,NA
253,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1,10,g is done,NA
334,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1,80,"cloud gathered and the
ingenious Lady Principal stopped rain and storms thereby",NA
403,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1,169,"y Principal with her two thousand students marched to the battle
field and arriving there directed all the rays of the concentrated sunlight and heat
towards the enemy",NA
254,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,12,136,Men who do or at least are capable of doing no end of mischief are let loose and the innocent women shut up in the zenana,NA
335,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,82,88,Really,NA
336,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,90,220,Now I understand why there is no mud here said I But I could not understand how it was possible to accumulate water in the pipes,NA
168,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,118,302,"Sultanas Dream Page No  2 Sultanas Dream
by Rokheya Shekhawat Hossein 1880  1932

Sultanas Dream was originally published in The Indian Ladies
Magazine Madras 1905 in English",NA
255,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,138,188,How can you trust those untrained men out of doors,NA
404,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,171,220,The heat and light were too much for them to bear,NA
256,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,190,254,We have no hand or voice in the management of our social affairs,NA
337,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,222,338,She explained to me how it was done but I was unable to understand her as my scientific knowledge was very limited,NA
405,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,222,326,They all ran away panicstricken not knowing in their bewilderment how to counteract that scorching heat,NA
257,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,256,374,In India man is lord and master he has taken to himself all powers and privileges and shut up the women in the zenana,NA
333,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,259,263,India,location
169,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,304,465,"This edition is transcribed from
Sultanas dream and Padmarag two feminist utopias by Rokeya Sakhawat Hossain translated with an introduction by Barnita Bagchi",NA
406,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,328,447,When they fled away leaving their guns and other ammunitions of war they were burnt down by means of the same sunheat,NA
338,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,340,492,"However she went on When the other university
came to know of this they became exceedingly jealous and tried to do something
more extraordinary still",NA
258,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,376,417,Why do you allow yourselves to be shut up,NA
259,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,419,478,Because it cannot be helped as they are stronger than women,NA
407,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,449,507,Since then no one has tried to invade our country any more,NA
244,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,451,464,Barnita Bagchi,person
170,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,467,500,New Delhi India  Penguin 2005,NA
251,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,467,475,New Delhi,location
252,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,478,482,India,location
260,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,484,600,"Sultanas Dream

Page No  6

A lion is stronger than a man but it does not enable him to dominate the human race",NA
339,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,494,581,"They invented an instrument by which they could collect
as much sunheat as they wanted",NA
171,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,503,663,"Sultanas Dream Page No  3 Sultanas Dream

One evening I was lounging in an easy chair in my bedroom and thinking lazily of
the condition of Indian womanhood",NA
408,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,509,577,And since then your countrymen never tried to come out of the zenana,NA
409,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,579,606,Yes they wanted to be free,NA
340,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,583,658,"And they kept the heat stored up to be
distributed among others as required",NA
261,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,602,733,You have neglected the duty you owe to yourselves and you have lost your natural rights by shutting your eyes to your own interests,NA
410,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,608,921,Some of the police commissioners and district magistrates sent word to the Queen to the effect that the military officers certainly deserved to be imprisoned for their failure but they never neglected their duty and therefore they should not be punished and they prayed to be restored to their respective offices,NA
341,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,660,778,While the women were engaged in scientific research the men of this country were busy increasing their military power,NA
172,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,665,705,I am not sure whether I dozed off or not,NA
173,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,707,750,"But
as far as I remember I was wide awake",NA
262,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,735,819,But my dear Sister Sara if we do everything by ourselves what will the men do then,NA
174,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,752,837,"I saw the moonlit sky sparkling with
thousands of diamondlike stars very distinctly",NA
