X,author,title,type,start,end,words,kind
420,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1937,1985,Your kitchen is not inferior to a queens boudoir,NA
190,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1939,1978,Some of the passersby made jokes at me,NA
280,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1951,2022,I asked her pointing to the various pieces of embroidered teapoy cloths,NA
191,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1980,2058,"Though I could not understand their
language yet I felt sure they were joking",NA
421,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1987,2144,"I replied with a pleasant smile
but we must leave it now for the gentlemen may be cursing me for keeping them away from their duties in the kitchen so long",NA
281,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2024,2027,Yes,NA
282,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2029,2066,How can you find time to do all these,NA
192,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2060,2095,I asked my friend What do they say,NA
283,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2068,2106,You have to do the office work as well,NA
366,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2086,2217,"But both
the Lady Principals restrained them and said they should reply not by word but
by deed if ever they got the opportunity",NA
193,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2097,2137,The women say that you look very mannish,NA
284,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2108,2120,Have you not,NA
285,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2122,2125,Yes,NA
286,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2127,2172,I do not stick to the laboratory all day long,NA
194,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2139,2181,Mannish said I What do they mean by that,NA
422,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2146,2170,We both laughed heartily,NA
423,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2172,2561,"How my friends at home will be amused and amazed when I go back and tell them that in the faroff Ladyland ladies rule over the country and control all social matters while gentlemen are kept in the Mardanas to mind babies to cook and to do all sorts of domestic work and that cooking is so easy a thing that it is simply a pleasure to cook
Yes tell them about all that you see here",NA
287,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2174,2203,I finish my work in two hours,NA
195,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2183,2228,They mean that you are shy and timid like men,NA
288,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2205,2217,In two hours,NA
289,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2219,2236,How do you manage,NA
367,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2219,2269,"And they had not long to wait for that
opportunity",NA
196,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2234,2288,"Sultanas Dream

Page No  4

Shy and timid like men",NA
290,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2238,2320,"In our land the officers  magistrates for
instance  work seven hours daily",NA
368,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2271,2284,How marvelous,NA
369,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2286,2313,I heartily clapped my hands,NA
197,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2290,2310,It was really a joke,NA
198,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2312,2401,"I became very nervous when I
found that my companion was not Sister Sara but a stranger",NA
370,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2315,2385,"And now the proud gentlemen are
dreaming sentimental dreams themselves",NA
291,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2323,2394,Sultanas Dream Page No  7 I have seen some of them doing their work,NA
371,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2387,2476,"Soon afterwards certain persons came from a neighbouring country and took
shelter in ours",NA
292,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2396,2438,"Do you think they work all the seven
hours",NA
199,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2403,2486,"Oh what a fool had I
been to mistake this lady for my dear old friend Sister Sara",NA
293,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2440,2457,Certainly they do,NA
294,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2460,2489,No dear Sultana they do not,NA
249,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,2475,2485,Sister Sara,person
372,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2478,2538,They were in trouble having committed some political offense,NA
200,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2488,2560,She felt my fingers tremble in her hand as we were walking hand in hand,NA
295,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2491,2529,They dawdle away their time in smoking,NA
296,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2531,2586,"Some
smoke two or three choroots during the office time",NA
373,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2540,2661,"The
king who cared more for power than for good government asked our kindhearted
Queen to hand them over to his officers",NA
201,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2562,2586,What is the matter dear,NA
424,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2563,2674,Please let me know how you carry on land cultivation and how you plough the land and do other hard manual work,NA
202,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2588,2611,she said affectionately,NA
297,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2588,2634,"They talk much about their
work but do little",NA
203,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2613,2750,"I feel somewhat awkward I
said in a rather apologizing tone as being a purdahnishin woman I am not accustomed to walking about unveiled",NA
400,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,2622,2626,Queen,location
298,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2636,2788,"Suppose one choroot takes half an hour to burn off and a man
smokes twelve choroots daily then you see he wastes six hours every day in sheer
smoking",NA
374,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2663,2728,"She refused as it was against her
principle to turn out refugees",NA
425,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2676,2827,Our fields are tilled by means of electricity which supplies motive power for other hard work as well and we employ it for our aerial conveyances too,NA
375,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2730,2788,"For this refusal the king declared war against our
country",NA
204,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2752,2802,You need not be afraid of coming across a man here,NA
299,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2790,2943,We talked on various subjects and I learned that they were not subject to any kind of epidemic disease nor did they suffer from mosquito bites as we do,NA
376,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2790,2874,Our military officers sprang to their feet at once and marched out to meet the enemy,NA
205,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2804,2844,This is Ladyland free from sin and harm,NA
426,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2829,2876,We have no rail road nor any paved streets here,NA
206,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2846,2872,Virtue herself reigns here,NA
207,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2874,2910,By and by I was enjoying the scenery,NA
377,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2876,2918,The enemy however was too strong for them,NA
427,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2878,2990,Therefore neither street nor railway accidents occur here said I Do not you ever suffer from want of rainwater,NA
208,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2912,2936,Really it was very grand,NA
378,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2920,2957,Our soldiers fought bravely no doubt,NA
209,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2938,2991,"I mistook a patch
of green grass for a velvet cushion",NA
300,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2945,3041,I was very much astonished to hear that in Ladyland no one died in youth except by rare accident,NA
379,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2959,3053,But in spite of all their bravery the foreign army advanced step by step to invade our country,NA
428,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2992,2999,I asked,NA
210,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,2993,3102,"Feeling as if I were walking on a soft carpet I
looked down and found the path covered with moss and flowers",NA
429,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3001,3046,Never since the water balloon has been set up,NA
301,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3043,3075,Will you care to see our kitchen,NA
430,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3048,3098,You see the big balloon and pipes attached thereto,NA
380,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3055,3136,Nearly all the men had gone out to fight even a boy of sixteen was not left home,NA
302,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3077,3089,she asked me,NA
303,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3091,3135,With pleasure said I and we went to see it,NA
431,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3100,3156,By their aid we can draw as much rainwater as we require,NA
211,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3104,3142,"How nice it is said I
Do you like it",NA
