X,author,title,type,start,end,kind,words
313,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3702,3756,NA,How did you manage to gather and store up the sunheat
220,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3713,3769,NA,They could not find a better excuse said she with smile
402,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,3734,3738,location,Queen
314,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3758,3782,NA,I asked her in amazement
386,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3770,3812,NA,There was a dead silence for a few minutes
221,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3771,3819,NA,I became very curious to know where the men were
442,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3773,3828,NA,And in cold weather we keep our room warm with sunheat
315,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3784,3833,NA,Let me tell you a little of our past history then
387,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3814,3903,NA,"Her Royal Highness said again I
must commit suicide if the land and my honour are lost"
222,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3821,3894,NA,"I met more than a hundred
women while walking there but not a single man"
443,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3830,3889,NA,She showed me her bathroom the roof of which was removable
316,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3835,3924,NA,"Thirty years ago when our present
Queen was thirteen years old she inherited the throne"
444,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3891,4044,NA,"She could enjoy a
shower bath whenever she liked by simply removing the roof which was like the
lid of a box and turning on the tap of the shower pipe"
223,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3896,3913,NA,Where are the men
388,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3905,4117,NA,Then the Lady Principal of the second university who had collected sunheat who had been silently thinking during the consultation remarked that they were all but lost and there was little hope left for them
224,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3915,3926,NA,I asked her
317,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3926,3998,NA,"She was Queen in name
only the Prime Minister really ruling the country"
225,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3928,3974,NA,In their proper places where they ought to be
226,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3978,4063,NA,"Sultanas Dream

Page No  5

Pray let me know what you mean by their proper places"
318,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4000,4038,NA,Our good Queen liked science very much
319,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4040,4116,NA,She circulated an order that all the women in her country should be educated
445,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4046,4068,NA,You are a lucky people
227,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4065,4144,NA,O I see my mistake you cannot know our customs as you were never here before
446,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4070,4082,NA,ejaculated I
447,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4084,4100,NA,You know no want
448,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4102,4134,NA,What is your religion may I ask
320,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4118,4200,NA,"Accordingly a number of girls schools
were founded and supported by the government"
389,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4119,4295,NA,There was however one plan which she would like to try and this would be her first and last efforts if she failed in this there would be nothing left but to commit suicide
449,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4136,4175,NA,Our religion is based on Love and Truth
228,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4146,4169,NA,We shut our men indoors
492,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,4161,4164,location,Love
229,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4171,4204,NA,Just as we are kept in the zenana
450,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4177,4251,NA,It is our religious duty to love one another and to be absolutely truthful
321,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4202,4247,NA,"Education was spread far and
wide among women"
230,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4206,4216,NA,Exactly so
231,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4218,4249,NA,How funny I burst into a laugh
322,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4249,4284,NA,And early marriage also was stopped
232,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4251,4274,NA,Sister Sara laughed too
451,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4253,4309,NA,"If any person lies she or he is
Punished with death"
233,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4276,4362,NA,But dear Sultana how unfair it is to shut in the harmless women and let loose the men
323,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4286,4347,NA,"No woman was to be
allowed to marry before she was twentyone"
390,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4297,4402,NA,All present solemnly vowed that they would never allow themselves to be enslaved no matter what happened
452,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4311,4329,NA,No not with death
453,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4331,4409,NA,We do not take pleasure in killing a creature of God especially a human being
324,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4349,4423,NA,"I must tell you that before this
change we had been kept in strict purdah"
234,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4364,4367,NA,Why
235,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4369,4442,NA,It is not safe for us to come out of the zenana as we are naturally weak
391,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4404,4481,NA,The Queen thanked them heartily and asked the Lady Principal to try her plan
454,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4411,4486,NA,The liar is asked to leave this land for good and never to come to it again
325,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4426,4508,NA,Sultanas Dream Page No  8 How the tables are turned I interposed with a laugh
236,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4444,4560,NA,Yes it is not safe so long as there are men about the streets nor is it so when a wild animal enters a marketplace
392,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4483,4571,NA,"The Lady Principal rose again and said before we go out the men must enter the
zenanas"
455,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4488,4517,NA,Is an offender never forgiven
326,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4510,4549,NA,But the seclusion is the same she said
456,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4519,4556,NA,Yes if that person repents sincerely
327,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4551,4622,NA,"In a few years we had separate
universities where no men were admitted"
457,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4558,4619,NA,Are you not allowed to see any man except your own relations
237,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4562,4575,NA,Of course not
393,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4573,4615,NA,I make this prayer for the sake of purdah
238,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4577,4738,NA,Suppose some lunatics escape from the asylum and begin to do all sorts of mischief to men horses and other creatures in that case what will your countrymen do
394,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4617,4661,NA,"Yes of course replied Her
Royal Highness"
458,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4621,4651,NA,No one except sacred relations
328,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4624,4689,NA,In the capital where our Queen lives there are two universities
459,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4653,4734,NA,Our circle of sacred relations is very limited even first cousins are not sacred
395,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4663,4771,NA,On the following day the Queen called upon all men to retire into zenanas for the sake of honour and liberty
329,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4691,4774,NA,"One of these
invented a wonderful balloon to which they attached a number of pipes"
460,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4736,4802,NA,But ours is very large a distant cousin is as sacred as a brother
239,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4740,4805,NA,They will try to capture them and put them back into their asylum
396,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4773,4843,NA,Wounded and tired as they were they took that order rather for a boon
330,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4776,4930,NA,"By means
of this captive balloon which they managed to keep afloat above the cloudland
they could draw as much water from the atmosphere as they pleased"
240,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4807,4816,NA,Thank you
461,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4808,4858,NA,"Sultanas Dream

Page No  13

That is very good"
241,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4818,4908,NA,And you do not think it wise to keep sane people inside an asylum and let loose the insane
397,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4845,4925,NA,They bowed low and entered the zenanas without uttering a single word of protest
462,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4860,4901,NA,I see purity itself reigns over your land
463,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4903,5008,NA,I should like to see the good Queen who is so sagacious and farsighted and who has made all these rules
242,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4910,4948,NA,Of course not said I laughing lightly
398,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4927,4988,NA,They were sure that there was no hope for this country at all
331,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4932,5001,NA,"As the water
was incessantly being drawn by the university people no c"
243,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4950,5001,NA,As a matter of fact in your country this very thing
399,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,4990,5001,NA,Then the Lad
464,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,5010,5037,NA,All right said Sister Sara
491,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,5026,5036,person,Sister Sara
465,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,5039,5102,NA,Then she screwed a couple of seats onto a square piece of plank
466,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,5104,5165,NA,"To this plank she
attached two smooth and wellpolished balls"
467,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,5167,5294,NA,"When I asked her what the balls
were for she said they were hydrogen balls and they were used to overcome the
force of gravity"
468,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,5296,5403,NA,"The balls were of different capacities to be used according to the
different weights desired to be overcome"
