,author,title,type,start,end,words,kind
1,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,451,464,Barnita Bagchi,person
2,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,937,947,Sister Sara,person
8,"More, Thomas, Saint",Utopia,entity,4,17,Ralph Robinson,person
9,"More, Thomas, Saint",Utopia,entity,29,39,Thomas More,person
10,"More, Thomas, Saint",Utopia,entity,53,61,John More,person
11,"More, Thomas, Saint",Utopia,entity,67,80,Gilbert Burnet,person
12,"More, Thomas, Saint",Utopia,entity,70,74,Peter,person
13,"More, Thomas, Saint",Utopia,entity,146,165,Lord William Russell,person
14,"More, Thomas, Saint",Utopia,entity,247,251,James,person
15,"More, Thomas, Saint",Utopia,entity,284,294,John Morton,person
16,"More, Thomas, Saint",Utopia,entity,316,322,Solomon,person
17,"More, Thomas, Saint",Utopia,entity,326,340,Lord Chancellor,person
18,"More, Thomas, Saint",Utopia,entity,406,410,Peter,person
19,"More, Thomas, Saint",Utopia,entity,665,670,Morton,person
20,"More, Thomas, Saint",Utopia,entity,721,731,Richard III,person
21,"More, Thomas, Saint",Utopia,entity,825,834,Henry VII,person
22,"More, Thomas, Saint",Utopia,entity,911,925,Lord Chancellor,person
24,"More, Thomas, Saint",Utopia,entity,1048,1054,Charles,person
26,"More, Thomas, Saint",Utopia,entity,1208,1218,Peter Giles,person
27,"More, Thomas, Saint",Utopia,entity,1380,1393,Thomas Linacre,person
30,"Gilman, Charlotte Perkins",Herland,entity,1123,1131,Nicholson,person
31,"Gilman, Charlotte Perkins",Herland,entity,1162,1165,Nick,person
32,"Gilman, Charlotte Perkins",Herland,entity,1187,1199,Jeff Margrave,person
44,"Gilman, Charlotte Perkins",Herland,entity,4452,4454,Van,person
64,"Gilman, Charlotte Perkins",Herland,entity,993,999,Solomon,person
94,"Gilman, Charlotte Perkins",Herland,entity,3953,3956,Mike,person
137,"Gilman, Charlotte Perkins",Herland,entity,327,337,Zava,person
173,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,1619,1635,William Newcastle,person
174,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,2783,2802,Noble Female Friends,person
175,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,2935,2944,Noble Lord,person
176,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,3095,3099,Henry,person
177,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,3267,3275,Alexander,person
178,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,3525,3536,Noble Ladies,person
179,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,4772,4776,Truly,person
180,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,5249,5256,Paradise,person
181,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,9030,9033,Cave,person
182,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,11081,11087,Planets,person
183,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,12454,12459,Reason,person
184,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,12549,12554,Reason,person
185,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,15356,15363,Paradise,person
186,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,17483,17490,Paradise,person
187,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,17543,17548,Rivers,person
188,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,19707,19714,Diamonds,person
189,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,19717,19722,Pearls,person
190,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,23678,23682,Young,person
191,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,23755,23758,Jack,person
192,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,25242,25247,Reason,person
193,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,26645,26649,Truly,person
194,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,26703,26706,Jews,person
195,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,2475,2485,Sister Sara,person
196,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,3150,3160,Sister Sara,person
197,"More, Thomas, Saint",Utopia,entity,1620,1637,Americus Vesputius,person
198,"More, Thomas, Saint",Utopia,entity,1788,1792,Plato,person
199,"More, Thomas, Saint",Utopia,entity,1913,1917,Peter,person
200,"More, Thomas, Saint",Utopia,entity,1964,1973,Henry VII,person
201,"More, Thomas, Saint",Utopia,entity,2007,2011,Peter,person
202,"More, Thomas, Saint",Utopia,entity,2048,2058,John Morton,person
203,"More, Thomas, Saint",Utopia,entity,2051,2058,Margaret,person
204,"More, Thomas, Saint",Utopia,entity,2101,2110,Chancellor,person
205,"More, Thomas, Saint",Utopia,entity,2140,2146,Himself,person
206,"More, Thomas, Saint",Utopia,entity,2142,2146,Peter,person
207,"More, Thomas, Saint",Utopia,entity,2160,2168,Christian,person
208,"More, Thomas, Saint",Utopia,entity,2245,2254,Henry VIII,person
209,"More, Thomas, Saint",Utopia,entity,2258,2266,Henry VII,person
210,"More, Thomas, Saint",Utopia,entity,2356,2364,Henry VII,person
211,"More, Thomas, Saint",Utopia,entity,2398,2402,Plato,person
212,"More, Thomas, Saint",Utopia,entity,2465,2474,Henry VIII,person
213,"More, Thomas, Saint",Utopia,entity,2582,2586,Peter,person
214,"More, Thomas, Saint",Utopia,entity,2618,2628,Henry VIII,person
215,"More, Thomas, Saint",Utopia,entity,2702,2710,John Colt,person
216,"More, Thomas, Saint",Utopia,entity,2846,2850,Plato,person
217,"More, Thomas, Saint",Utopia,entity,2953,2958,Edward,person
218,"More, Thomas, Saint",Utopia,entity,2974,2989,Cuthbert Tonstal,person
219,"More, Thomas, Saint",Utopia,entity,2989,2999,Richard III,person
220,"More, Thomas, Saint",Utopia,entity,3068,3072,Peter,person
221,"More, Thomas, Saint",Utopia,entity,3079,3085,Sallust,person
222,"More, Thomas, Saint",Utopia,entity,3082,3087,Morton,person
223,"Gilman, Charlotte Perkins",Herland,entity,3130,3133,Jeff,person
224,"Gilman, Charlotte Perkins",Herland,entity,3453,3457,Terry,person
225,"Gilman, Charlotte Perkins",Herland,entity,4645,4650,Ladies,person
226,"Gilman, Charlotte Perkins",Herland,entity,4654,4658,Terry,person
227,"Gilman, Charlotte Perkins",Herland,entity,4784,4788,Terry,person
228,"Gilman, Charlotte Perkins",Herland,entity,589,592,Jeff,person
229,"Gilman, Charlotte Perkins",Herland,entity,1123,1126,Jeff,person
230,"Gilman, Charlotte Perkins",Herland,entity,4780,4784,Terry,person
231,"Gilman, Charlotte Perkins",Herland,entity,249,253,Jeff,person
232,"Gilman, Charlotte Perkins",Herland,entity,557,561,Terry,person
233,"Gilman, Charlotte Perkins",Herland,entity,1909,1913,Terry,person
234,"Gilman, Charlotte Perkins",Herland,entity,2799,2803,Terry,person
235,"Gilman, Charlotte Perkins",Herland,entity,3365,3369,Terry,person
236,"Gilman, Charlotte Perkins",Herland,entity,3669,3672,Jeff,person
237,"Gilman, Charlotte Perkins",Herland,entity,660,665,Thomas,person
